edition,round,score,team1,team2,venue,year
1982-SPAIN,PRELIMINARY-As./O.,5-1 (2-1),South Korea (한국),Thailand (ประเทศไทย),Kuwait.,1981
1982-SPAIN,PRELIMINARY-Africa,1-0 (0-0),Nigeria,Guinea (Guinée),Lagos.,1981
1982-SPAIN,PRELIMINARY-As./O.,3-3 (2-3),New Zealand (Aotearoa),Australia,Auckland.,1981
1982-SPAIN,PRELIMINARY-As./O.,4-0 (2-0),Kuwait (الكويت),Malaysia (مليسيا),Kuwait.,1981
1982-SPAIN,PRELIMINARY-Africa,6-1 (3-0),Cameroon (Cameroun),Zaire (Zaïre),Yaoundé.,1981
1982-SPAIN,PRELIMINARY-Africa,1-0 (1-0),Morocco (المغرب),Egypt (مصر),Casablanca.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-2 (0-0),Malaysia (مليسيا),Thailand (ประเทศไทย),Kuwait.,1981
1982-SPAIN,PRELIMINARY-Europe,2-2 (1-1),Switzerland (Schweiz / Suisse),Hungary (Magyarország),Luzern.,1981
1982-SPAIN,PRELIMINARY-Europe,3-1 (2-0),Scotland,Israel (ישראל),Glasgow.,1981
1982-SPAIN,PRELIMINARY-Europe,2-0 (2-0),FRG (BRD / Westdeutschland),Austria (Österreich),Hamburg.,1981
1982-SPAIN,PRELIMINARY-Europe,3-2 (3-1),France,Belgium (België),Paris.,1981
1982-SPAIN,PRELIMINARY-Europe,0-1 (0-1),Cyprus (Κύπρος),Netherlands (Nederland),Levkosía.,1981
1982-SPAIN,PRELIMINARY-Europe,0-0 (0-0),England,Romania (România),London.,1981
1982-SPAIN,PRELIMINARY-Europe,5-1 (3-0),Yugoslavia (Југославија),Greece (Ελλάδα),Split.,1981
1982-SPAIN,PRELIMINARY-Europe,1-0 (0-0),Northern Ireland (Ulster),Portugal,Belfast.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-0 (0-0),Kuwait (الكويت),South Korea (한국),Kuwait.,1981
1982-SPAIN,PRELIMINARY-Europe,1-2 (1-0),Luxembourg (Lëtzebuerg),Denmark (Danmark),Luxembourg.,1981
1982-SPAIN,PRELIMINARY-Africa,4-0 (1-0),Algeria (الجزائر),Niger,Constantine.,1981
1982-SPAIN,PRELIMINARY-Europe,1-0 (0-0),Poland (Polska),GDR (DDR / Ostdeutschland),Chorzów.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-4 (0-3),Fiji,New Zealand (Aotearoa),Suva.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-0 (0-0),Taiwan (台湾),New Zealand (Aotearoa),Taipei.,1981
1982-SPAIN,PRELIMINARY-Africa,0-0 (0-0),Egypt (مصر),Morocco (المغرب),Cairo.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-2 (0-1),Indonesia,New Zealand (Aotearoa),Jakarta.,1981
1982-SPAIN,PRELIMINARY-Europe,4-0 (1-0),Bulgaria (България),Finland (Suomi),Sofija.,1981
1982-SPAIN,PRELIMINARY-Europe,1-0 (1-0),Hungary (Magyarország),Romania (România),Budapest.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-2 (0-1),Australia,New Zealand (Aotearoa),Sydney.,1981
1982-SPAIN,PRELIMINARY-S.America,1-0 (0-0),Ecuador,Paraguay,Guayaquil.,1981
1982-SPAIN,PRELIMINARY-Europe,1-2 (0-0),Norway (Norge),Hungary (Magyarország),Oslo.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-0 (2-0),Australia,Indonesia,Melbourne.,1981
1982-SPAIN,PRELIMINARY-As./O.,5-0 (2-0),New Zealand (Aotearoa),Indonesia,Auckland.,1981
1982-SPAIN,PRELIMINARY-Europe,0-4 (0-3),Finland (Suomi),FRG (BRD / Westdeutschland),Lahti.,1981
1982-SPAIN,PRELIMINARY-S.America,0-0 (0-0),Ecuador,Chile,Guayaquil.,1981
1982-SPAIN,PRELIMINARY-Europe,6-1 (2-0),Czechoslovakia (Československo),Iceland (Ísland),Bratislava.,1981
1982-SPAIN,PRELIMINARY-Europe,2-0 (1-0),Austria (Österreich),Bulgaria (България),Wien.,1981
1982-SPAIN,PRELIMINARY-Europe,0-0 (0-0),Wales (Cymru),Soviet Union (СССР),Wrexham.,1981
1982-SPAIN,PRELIMINARY-Europe,2-1 (2-0),Switzerland (Schweiz / Suisse),England,Basel.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-0 (1-0),New Zealand (Aotearoa),Taiwan (台湾),Auckland.,1981
1982-SPAIN,PRELIMINARY-S.America,3-1 (0-0),Paraguay,Ecuador,Asunción.,1981
1982-SPAIN,PRELIMINARY-Africa,1-0 (0-0),Niger,Algeria (الجزائر),Niamey.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-0 (0-0),Fiji,Indonesia,Suva.,1981
1982-SPAIN,PRELIMINARY-Europe,1-0 (0-0),Romania (România),Norway (Norge),Bucureşti.,1981
1982-SPAIN,PRELIMINARY-Europe,3-1 (0-0),Denmark (Danmark),Italy (Italia),København.,1981
1982-SPAIN,PRELIMINARY-Europe,1-0 (0-0),Sweden (Sverige),Northern Ireland (Ulster),Stockholm.,1981
1982-SPAIN,PRELIMINARY-Europe,1-3 (1-1),Hungary (Magyarország),England,Budapest.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-1 (1-0),Fiji,Taiwan (台湾),Suva.,1981
1982-SPAIN,PRELIMINARY-S.America,0-1 (0-0),Paraguay,Chile,Asunción.,1981
1982-SPAIN,PRELIMINARY-As./O.,3-2 (1-0),Australia,Taiwan (台湾),Adelaide.,1981
1982-SPAIN,PRELIMINARY-S.America,2-0 (1-0),Chile,Ecuador,Santiago.,1981
1982-SPAIN,PRELIMINARY-As./O.,1-0 (0-0),Indonesia,Taiwan (台湾),Jakarta.,1981
1982-SPAIN,PRELIMINARY-Europe,5-1 (2-0),Austria (Österreich),Finland (Suomi),Linz.,1981
1982-SPAIN,PRELIMINARY-Europe,1-1 (0-0),Norway (Norge),Switzerland (Schweiz / Suisse),Oslo.,1981
1982-SPAIN,PRELIMINARY-S.America,3-0 (3-0),Chile,Paraguay,Santiago.,1981
1982-SPAIN,PRELIMINARY-Europe,3-0 (1-0),Sweden (Sverige),Portugal,Stockholm.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-0 (2-0),Taiwan (台湾),Indonesia,Taipei.,1981
1982-SPAIN,PRELIMINARY-S.America,1-1 (0-0),Colombia,Peru (Perú),Bogotá.,1981
1982-SPAIN,PRELIMINARY-As./O.,1-4 (0-4),Fiji,Australia,Suva.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-0 (0-0),Taiwan (台湾),Fiji,Taipei.,1981
1982-SPAIN,PRELIMINARY-S.America,3-2 (1-1),Uruguay,Colombia,Montevideo.,1981
1982-SPAIN,PRELIMINARY-As./O.,3-3 (3-1),Indonesia,Fiji,Jakarta.,1981
1982-SPAIN,PRELIMINARY-As./O.,10-0 (3-0),Australia,Fiji,Melbourne.,1981
1982-SPAIN,PRELIMINARY-S.America,2-0 (1-0),Peru (Perú),Colombia,Lima.,1981
1982-SPAIN,PRELIMINARY-As./O.,13-0 (7-0),New Zealand (Aotearoa),Fiji,Auckland.,1981
1982-SPAIN,PRELIMINARY-S.America,1-2 (0-2),Uruguay,Peru (Perú),Montevideo.,1981
1982-SPAIN,PRELIMINARY-As./O.,1-0 (0-0),Indonesia,Australia,Surabaya.,1981
1982-SPAIN,PRELIMINARY-Europe,2-1 (0-0),Finland (Suomi),Albania (Shqipëri),Kotka.,1981
1982-SPAIN,PRELIMINARY-S.America,0-0 (0-0),Peru (Perú),Uruguay,Lima.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-0 (0-0),Taiwan (台湾),Australia,Taipei.,1981
1982-SPAIN,PRELIMINARY-Europe,2-2 (1-1),Netherlands (Nederland),Ireland (Éire),Rotterdam.,1981
1982-SPAIN,PRELIMINARY-Europe,2-0 (1-0),Belgium (België),France,Bruxelles.,1981
1982-SPAIN,PRELIMINARY-Europe,2-0 (1-0),Iceland (Ísland),Turkey (Türkiye),Reykjavík.,1981
1982-SPAIN,PRELIMINARY-Europe,2-0 (1-0),Czechoslovakia (Československo),Wales (Cymru),Praha.,1981
1982-SPAIN,PRELIMINARY-Europe,2-1 (2-1),Norway (Norge),England,Oslo.,1981
1982-SPAIN,PRELIMINARY-Europe,1-2 (0-0),Denmark (Danmark),Yugoslavia (Југославија),København.,1981
1982-SPAIN,PRELIMINARY-Europe,2-0 (1-0),Scotland,Sweden (Sverige),Glasgow.,1981
1982-SPAIN,PRELIMINARY-S.America,1-1 (1-1),Colombia,Uruguay,Bogotá.,1981
1982-SPAIN,PRELIMINARY-Europe,7-1 (2-1),FRG (BRD / Westdeutschland),Finland (Suomi),Bochum.,1981
1982-SPAIN,PRELIMINARY-Europe,1-1 (1-0),Iceland (Ísland),Czechoslovakia (Československo),Reykjavík.,1981
1982-SPAIN,PRELIMINARY-Europe,4-0 (3-0),Soviet Union (СССР),Turkey (Türkiye),Moskva.,1981
1982-SPAIN,PRELIMINARY-Europe,0-0 (0-0),Romania (România),Hungary (Magyarország),Bucureşti.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-0 (0-0),China (中国),New Zealand (Aotearoa),Beijing.,1981
1982-SPAIN,PRELIMINARY-As./O.,1-0 (1-0),New Zealand (Aotearoa),China (中国),Auckland.,1981
1982-SPAIN,PRELIMINARY-Europe,0-3 (0-2),Turkey (Türkiye),Soviet Union (СССР),İzmir.,1981
1982-SPAIN,PRELIMINARY-Europe,1-2 (0-0),Romania (România),Switzerland (Schweiz / Suisse),Bucureşti.,1981
1982-SPAIN,PRELIMINARY-Europe,2-3 (0-2),GDR (DDR / Ostdeutschland),Poland (Polska),Leipzig.,1981
1982-SPAIN,PRELIMINARY-Africa,0-2 (0-2),Nigeria,Algeria (الجزائر),Lagos.,1981
1982-SPAIN,PRELIMINARY-As./O.,1-2 (1-0),New Zealand (Aotearoa),Kuwait (الكويت),Auckland.,1981
1982-SPAIN,PRELIMINARY-Europe,1-3 (1-2),Austria (Österreich),FRG (BRD / Westdeutschland),Wien.,1981
1982-SPAIN,PRELIMINARY-Europe,0-2 (0-0),Albania (Shqipëri),Bulgaria (България),Tiranë.,1981
1982-SPAIN,PRELIMINARY-Europe,3-0 (2-0),Netherlands (Nederland),Belgium (België),Rotterdam.,1981
1982-SPAIN,PRELIMINARY-Europe,3-2 (3-1),Ireland (Éire),France,Dublin.,1981
1982-SPAIN,PRELIMINARY-Europe,2-2 (1-0),Wales (Cymru),Iceland (Ísland),Swansea.,1981
1982-SPAIN,PRELIMINARY-Europe,3-0 (1-0),Hungary (Magyarország),Switzerland (Schweiz / Suisse),Budapest.,1981
1982-SPAIN,PRELIMINARY-Europe,2-3 (0-2),Greece (Ελλάδα),Denmark (Danmark),Thessaloníkê.,1981
1982-SPAIN,PRELIMINARY-Europe,1-2 (0-1),Portugal,Sweden (Sverige),Lisboa.,1981
1982-SPAIN,PRELIMINARY-Europe,0-0 (0-0),Northern Ireland (Ulster),Scotland,Belfast.,1981
1982-SPAIN,PRELIMINARY-Europe,1-1 (1-1),Yugoslavia (Југославија),Italy (Italia),Beograd.,1981
1982-SPAIN,PRELIMINARY-As./O.,3-0 (2-0),China (中国),Kuwait (الكويت),Beijing.,1981
1982-SPAIN,PRELIMINARY-Europe,2-0 (1-0),Soviet Union (СССР),Czechoslovakia (Československo),Tbilisi.,1981
1982-SPAIN,PRELIMINARY-Europe,4-1 (4-1),Israel (ישראל),Portugal,Tel Aviv.,1981
1982-SPAIN,PRELIMINARY-Africa,2-1 (1-1),Algeria (الجزائر),Nigeria,Constantine.,1981
1982-SPAIN,PRELIMINARY-Europe,4-1 (1-1),Hungary (Magyarország),Norway (Norge),Budapest.,1981
1982-SPAIN,PRELIMINARY-N/C.America,4-0 (2-0),Mexico (México),Cuba,Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-N/C.America,1-0 (0-0),Canada,El Salvador,Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-N/C.America,4-0 (2-0),Honduras,Haiti (Haïti),Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-1 (0-0),Saudi Arabia (العربية السعودية),Kuwait (الكويت),Riyadh.,1981
1982-SPAIN,PRELIMINARY-N/C.America,1-1 (0-1),Canada,Haiti (Haïti),Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-N/C.America,0-1 (0-0),Mexico (México),El Salvador,Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-N/C.America,2-0 (1-0),Honduras,Cuba,Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-Europe,0-0 (0-0),Bulgaria (България),Austria (Österreich),Sofija.,1981
1982-SPAIN,PRELIMINARY-Europe,0-0 (0-0),Switzerland (Schweiz / Suisse),Romania (România),Bern.,1981
1982-SPAIN,PRELIMINARY-Europe,5-1 (2-1),GDR (DDR / Ostdeutschland),Malta,Jena.,1981
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),Cuba,El Salvador,Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-N/C.America,1-1 (0-0),Haiti (Haïti),Mexico (México),Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-N/C.America,2-1 (2-1),Honduras,Canada,Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-4 (2-0),Saudi Arabia (العربية السعودية),China (中国),Kuala Lumpur.,1981
1982-SPAIN,PRELIMINARY-Europe,1-1 (0-0),Italy (Italia),Greece (Ελλάδα),Torino.,1981
1982-SPAIN,PRELIMINARY-Europe,6-0 (1-0),Poland (Polska),Malta,Wrocław.,1981
1982-SPAIN,PRELIMINARY-N/C.America,0-2 (0-0),Haiti (Haïti),Cuba,Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-N/C.America,1-1 (1-0),Mexico (México),Canada,Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-Africa,0-2 (0-2),Morocco (المغرب),Cameroon (Cameroun),Kénitra.,1981
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),Honduras,El Salvador,Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-Europe,8-0 (5-0),FRG (BRD / Westdeutschland),Albania (Shqipëri),Dortmund.,1981
1982-SPAIN,PRELIMINARY-Europe,2-0 (0-0),France,Netherlands (Nederland),Paris.,1981
1982-SPAIN,PRELIMINARY-Europe,3-0 (2-0),Soviet Union (СССР),Wales (Cymru),Tbilisi.,1981
1982-SPAIN,PRELIMINARY-Europe,1-0 (1-0),England,Hungary (Magyarország),London.,1981
1982-SPAIN,PRELIMINARY-Europe,1-0 (1-0),Northern Ireland (Ulster),Israel (ישראל),Belfast.,1981
1982-SPAIN,PRELIMINARY-Europe,2-1 (1-1),Portugal,Scotland,Lisboa.,1981
1982-SPAIN,PRELIMINARY-N/C.America,1-0 (1-0),El Salvador,Haiti (Haïti),Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-0 (2-0),China (中国),Saudi Arabia (العربية السعودية),Kuala Lumpur.,1981
1982-SPAIN,PRELIMINARY-Europe,5-0 (2-0),Yugoslavia (Југославија),Luxembourg (Lëtzebuerg),Novi Sad.,1981
1982-SPAIN,PRELIMINARY-N/C.America,2-2 (1-0),Cuba,Canada,Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-Europe,4-0 (1-0),FRG (BRD / Westdeutschland),Bulgaria (България),Düsseldorf.,1981
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),Honduras,Mexico (México),Tegucigalpa.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-2 (2-1),New Zealand (Aotearoa),Saudi Arabia (العربية السعودية),Auckland.,1981
1982-SPAIN,PRELIMINARY-Europe,1-1 (1-1),Czechoslovakia (Československo),Soviet Union (СССР),Bratislava.,1981
1982-SPAIN,PRELIMINARY-Europe,1-2 (1-2),Greece (Ελλάδα),Yugoslavia (Југославија),Peiraiás.,1981
1982-SPAIN,PRELIMINARY-Africa,2-1 (1-1),Cameroon (Cameroun),Morocco (المغرب),Yaoundé.,1981
1982-SPAIN,PRELIMINARY-As./O.,1-0 (1-0),Kuwait (الكويت),China (中国),Kuwait.,1981
1982-SPAIN,PRELIMINARY-Europe,4-0 (2-0),France,Cyprus (Κύπρος),Paris.,1981
1982-SPAIN,PRELIMINARY-Europe,1-0 (1-0),Italy (Italia),Luxembourg (Lëtzebuerg),Napoli.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-0 (1-0),Kuwait (الكويت),Saudi Arabia (العربية السعودية),Kuwait.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-2 (1-0),Kuwait (الكويت),New Zealand (Aotearoa),Kuwait.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-5 (0-5),Saudi Arabia (العربية السعودية),New Zealand (Aotearoa),Riyadh.,1981
1982-SPAIN,PRELIMINARY-As./O.,1-2 (0-1),China (中国),New Zealand (Aotearoa),Singapore.,1982
1982-SPAIN,GROUP_STAGE,0-1 (0-0),Argentina,Belgium (België),Barcelona.,1982
1982-SPAIN,GROUP_STAGE,0-0 (0-0),Italy (Italia),Poland (Polska),Vigo.,1982
1982-SPAIN,GROUP_STAGE,2-1 (0-1),Brazil (Brasil),Soviet Union (СССР),Sevilla.,1982
1982-SPAIN,GROUP_STAGE,0-0 (0-0),Peru (Perú),Cameroon (Cameroun),La_Coruña.,1982
1982-SPAIN,GROUP_STAGE,10-1 (3-0),Hungary (Magyarország),El Salvador,Elche.,1982
1982-SPAIN,GROUP_STAGE,5-2 (3-0),Scotland,New Zealand (Aotearoa),Málaga.,1982
1982-SPAIN,GROUP_STAGE,1-2 (0-0),FRG (BRD / Westdeutschland),Algeria (الجزائر),Gijón.,1982
1982-SPAIN,GROUP_STAGE,3-1 (1-1),England,France,Bilbao.,1982
1982-SPAIN,GROUP_STAGE,1-1 (0-1),Spain (España),Honduras,Valencia.,1982
1982-SPAIN,GROUP_STAGE,0-1 (0-1),Chile,Austria (Österreich),Oviedo.,1982
1982-SPAIN,GROUP_STAGE,1-1 (1-0),Czechoslovakia (Československo),Kuwait (الكويت),Valladolid.,1982
1982-SPAIN,GROUP_STAGE,0-0 (0-0),Yugoslavia (Југославија),Northern Ireland (Ulster),Zaragoza.,1982
1982-SPAIN,GROUP_STAGE,1-1 (1-0),Italy (Italia),Peru (Perú),Vigo.,1982
1982-SPAIN,GROUP_STAGE,4-1 (2-0),Argentina,Hungary (Magyarország),Alicante.,1982
1982-SPAIN,GROUP_STAGE,4-1 (1-1),Brazil (Brasil),Scotland,Sevilla.,1982
1982-SPAIN,GROUP_STAGE,0-0 (0-0),Poland (Polska),Cameroon (Cameroun),La_Coruña.,1982
1982-SPAIN,GROUP_STAGE,1-0 (1-0),Belgium (België),El Salvador,Elche.,1982
1982-SPAIN,GROUP_STAGE,3-0 (1-0),Soviet Union (СССР),New Zealand (Aotearoa),Málaga.,1982
1982-SPAIN,GROUP_STAGE,4-1 (1-0),FRG (BRD / Westdeutschland),Chile,Gijón.,1982
1982-SPAIN,GROUP_STAGE,2-0 (0-0),England,Czechoslovakia (Československo),Bilbao.,1982
1982-SPAIN,GROUP_STAGE,2-1 (1-1),Spain (España),Yugoslavia (Југославија),Valencia.,1982
1982-SPAIN,GROUP_STAGE,0-2 (0-0),Algeria (الجزائر),Austria (Österreich),Oviedo.,1982
1982-SPAIN,GROUP_STAGE,4-1 (2-0),France,Kuwait (الكويت),Valladolid.,1982
1982-SPAIN,GROUP_STAGE,1-1 (0-1),Honduras,Northern Ireland (Ulster),Zaragoza.,1982
1982-SPAIN,GROUP_STAGE,5-1 (0-0),Poland (Polska),Peru (Perú),La_Coruña.,1982
1982-SPAIN,GROUP_STAGE,1-1 (0-1),Belgium (België),Hungary (Magyarország),Elche.,1982
1982-SPAIN,GROUP_STAGE,2-2 (0-1),Soviet Union (СССР),Scotland,Málaga.,1982
1982-SPAIN,GROUP_STAGE,1-1 (0-0),Italy (Italia),Cameroon (Cameroun),Vigo.,1982
1982-SPAIN,GROUP_STAGE,2-0 (1-0),Argentina,El Salvador,Alicante.,1982
1982-SPAIN,GROUP_STAGE,4-0 (2-0),Brazil (Brasil),New Zealand (Aotearoa),Sevilla.,1982
1982-SPAIN,GROUP_STAGE,3-2 (3-0),Algeria (الجزائر),Chile,Oviedo.,1982
1982-SPAIN,GROUP_STAGE,1-1 (0-0),France,Czechoslovakia (Československo),Valladolid.,1982
1982-SPAIN,GROUP_STAGE,0-1 (0-0),Honduras,Yugoslavia (Југославија),Zaragoza.,1982
1982-SPAIN,GROUP_STAGE,1-0 (1-0),FRG (BRD / Westdeutschland),Austria (Österreich),Gijón.,1982
1982-SPAIN,GROUP_STAGE,1-0 (1-0),England,Kuwait (الكويت),Bilbao.,1982
1982-SPAIN,GROUP_STAGE,1-0 (0-0),Northern Ireland (Ulster),Spain (España),Valencia.,1982
1982-SPAIN,QUARTERFINAL_STAGE,0-1 (0-1),Austria (Österreich),France,Madrid.,1982
1982-SPAIN,QUARTERFINAL_STAGE,3-0 (2-0),Poland (Polska),Belgium (België),Barcelona.,1982
1982-SPAIN,QUARTERFINAL_STAGE,2-1 (0-0),Italy (Italia),Argentina,Barcelona.,1982
1982-SPAIN,QUARTERFINAL_STAGE,0-0 (0-0),FRG (BRD / Westdeutschland),England,Madrid.,1982
1982-SPAIN,QUARTERFINAL_STAGE,2-2 (0-1),Austria (Österreich),Northern Ireland (Ulster),Madrid.,1982
1982-SPAIN,QUARTERFINAL_STAGE,0-1 (0-0),Belgium (België),Soviet Union (СССР),Barcelona.,1982
1982-SPAIN,QUARTERFINAL_STAGE,1-3 (0-1),Argentina,Brazil (Brasil),Barcelona.,1982
1982-SPAIN,QUARTERFINAL_STAGE,2-1 (0-0),FRG (BRD / Westdeutschland),Spain (España),Madrid.,1982
1982-SPAIN,QUARTERFINAL_STAGE,4-1 (1-0),France,Northern Ireland (Ulster),Madrid.,1982
1982-SPAIN,QUARTERFINAL_STAGE,0-0 (0-0),Poland (Polska),Soviet Union (СССР),Barcelona.,1982
1982-SPAIN,QUARTERFINAL_STAGE,3-2 (2-1),Italy (Italia),Brazil (Brasil),Barcelona.,1982
1982-SPAIN,QUARTERFINAL_STAGE,0-0 (0-0),Spain (España),England,Madrid.,1982
1982-SPAIN,1/2_FINAL,0-2 (0-1),Poland (Polska),Italy (Italia),Barcelona.,1982
1982-SPAIN,1/2_FINAL,3-3 (1-1) (a.e.t.) (p.k.),FRG (BRD / Westdeutschland),France,Sevilla.,1982
1982-SPAIN,PLACES_3&4,3-2 (2-1),Poland (Polska),France,Alicante.,1982
1982-SPAIN,_FINAL,3-1 (0-0),Italy (Italia),FRG (BRD / Westdeutschland),Madrid.,1982
1986-MEXICO,PRELIMINARY-Europe,1-0 (0-0),Finland (Suomi),Northern Ireland (Ulster),Pori.,1984
1986-MEXICO,PRELIMINARY-N/C.America,0-3 (0-2),Panama (Panamá),Honduras,Colón.,1984
1986-MEXICO,PRELIMINARY-N/C.America,1-0 (0-0),Honduras,Panama (Panamá),Tegucigalpa.,1984
1986-MEXICO,PRELIMINARY-Africa,0-1 (0-0),Sierra Leone,Morocco (المغرب),Freetown.,1984
1986-MEXICO,PRELIMINARY-Africa,1-0 (0-0),Angola,Senegal (Sénégal),Luanda.,1984
1986-MEXICO,PRELIMINARY-Africa,4-0 (1-0),Morocco (المغرب),Sierra Leone,Rabat.,1984
1986-MEXICO,PRELIMINARY-Africa,1-0 (1-0) (p.k.),Senegal (Sénégal),Angola,Dakar.,1984
1986-MEXICO,PRELIMINARY-Africa,0-1 (0-1),Mauritius,Malawi (Malaŵi),Curepipe.,1984
1986-MEXICO,PRELIMINARY-Africa,4-0 (1-0),Malawi (Malaŵi),Mauritius,Lilongwe.,1984
1986-MEXICO,PRELIMINARY-N/C.America,5-0 (4-0),El Salvador,Puerto Rico,San_Salvador.,1984
1986-MEXICO,PRELIMINARY-Africa,3-0 (1-0),Zambia,Uganda,Ndola.,1984
1986-MEXICO,PRELIMINARY-N/C.America,0-4 (0-2),Antigua and Barbuda,Haiti (Haïti),Port-au-Prince.,1984
1986-MEXICO,PRELIMINARY-N/C.America,0-3 (0-2),Puerto Rico,El Salvador,San_Juan.,1984
1986-MEXICO,PRELIMINARY-N/C.America,1-2 (1-1),Haiti (Haïti),Antigua and Barbuda,Port-au-Prince.,1984
1986-MEXICO,PRELIMINARY-N/C.America,1-0 (1-0),Surinam (Suriname),Guyana,Paramaribo.,1984
1986-MEXICO,PRELIMINARY-Africa,1-0 (0-0),Uganda,Zambia,Kampala.,1984
1986-MEXICO,PRELIMINARY-Africa,1-0 (1-0),Egypt (مصر),Zimbabwe,Cairo.,1984
1986-MEXICO,PRELIMINARY-N/C.America,1-1 (1-0),Guyana,Surinam (Suriname),Georgetown.,1984
1986-MEXICO,PRELIMINARY-Europe,0-1 (0-0),Sweden (Sverige),Portugal,Stockholm.,1984
1986-MEXICO,PRELIMINARY-Europe,3-2 (1-1),Northern Ireland (Ulster),Romania (România),Belfast.,1984
1986-MEXICO,PRELIMINARY-Europe,1-0 (0-0),Ireland (Éire),Soviet Union (СССР),Dublin.,1984
1986-MEXICO,PRELIMINARY-Europe,0-1 (0-1),Norway (Norge),Switzerland (Schweiz / Suisse),Oslo.,1984
1986-MEXICO,PRELIMINARY-Europe,1-0 (0-0),Iceland (Ísland),Wales (Cymru),Reykjavík.,1984
1986-MEXICO,PRELIMINARY-Europe,3-1 (0-1),Hungary (Magyarország),Austria (Österreich),Budapest.,1984
1986-MEXICO,PRELIMINARY-Europe,1-0 (0-0),Denmark (Danmark),Norway (Norge),København.,1984
1986-MEXICO,PRELIMINARY-Europe,0-0 (0-0),Yugoslavia (Југославија),Bulgaria (България),Beograd.,1984
1986-MEXICO,PRELIMINARY-N/C.America,0-0 (0-0),Dutch Antilles (Nederlandse Antillen),USA,Willemstad.,1984
1986-MEXICO,PRELIMINARY-Africa,1-1 (1-1),Zimbabwe,Egypt (مصر),Harare.,1984
1986-MEXICO,PRELIMINARY-N/C.America,4-0 (0-0),USA,Dutch Antilles (Nederlandse Antillen),St._Louis.,1984
1986-MEXICO,PRELIMINARY-Europe,1-1 (0-0),Norway (Norge),Soviet Union (СССР),Oslo.,1984
1986-MEXICO,PRELIMINARY-Europe,0-4 (0-4),Luxembourg (Lëtzebuerg),France,Luxembourg.,1984
1986-MEXICO,PRELIMINARY-Africa,1-1 (1-0),Tanzania,Sudan (السودان),Mwanza.,1984
1986-MEXICO,PRELIMINARY-Africa,2-1 (1-1),Kenya,Ethiopia (ኢትዮጵያ),Nairobi.,1984
1986-MEXICO,PRELIMINARY-Europe,2-1 (1-1),Portugal,Czechoslovakia (Československo),Porto.,1984
1986-MEXICO,PRELIMINARY-Europe,3-1 (0-0),Belgium (België),Albania (Shqipëri),Bruxelles.,1984
1986-MEXICO,PRELIMINARY-Europe,3-1 (0-1),Poland (Polska),Greece (Ελλάδα),Zabrze.,1984
1986-MEXICO,PRELIMINARY-Europe,2-0 (0-0),FRG (BRD / Westdeutschland),Sweden (Sverige),Köln.,1984
1986-MEXICO,PRELIMINARY-Europe,5-0 (2-0),England,Finland (Suomi),London.,1984
1986-MEXICO,PRELIMINARY-Europe,1-2 (1-1),Netherlands (Nederland),Hungary (Magyarország),Rotterdam.,1984
1986-MEXICO,PRELIMINARY-Europe,1-0 (1-0),Switzerland (Schweiz / Suisse),Denmark (Danmark),Bern.,1984
1986-MEXICO,PRELIMINARY-Europe,1-0 (1-0),Norway (Norge),Ireland (Éire),Oslo.,1984
1986-MEXICO,PRELIMINARY-Europe,3-0 (2-0),Scotland,Iceland (Ísland),Glasgow.,1984
